Predicted_Energy,Carbon_Intensity,Flexible,Green_Score,Scheduling_Decision,Carbon_Emission,Baseline_Carbon_Emission
16.490999999999982,181,1,1.0661639983771494,Delay Job (Low Carbon),2984.870999999997,4238.186999999995
13.14199999999999,169,1,1.0820090788015118,Delay Job (Low Carbon),2220.9979999999982,3377.4939999999974
32.72000000000002,165,0,0.0366229532488701,Run Immediately,5398.800000000003,8409.040000000005
42.182399999999944,167,0,0.029694593516653572,Run Immediately,7044.460799999991,10840.876799999985
16.88019999999999,185,1,1.0646464096589094,Delay Job (Low Carbon),3122.8369999999986,4338.211399999997
23.388599999999986,184,0,0.04819065512778617,Run Immediately,4303.502399999998,6010.870199999997
24.29659999999998,176,0,0.04683984029190769,Run Immediately,4276.201599999997,6244.226199999995
28.563800000000032,176,0,0.04069116567759952,Run Immediately,5027.228800000005,7340.896600000008
19.287900000000004,180,1,1.0574015315301302,Delay Job (Low Carbon),3471.8220000000006,4956.990300000001
29.066000000000045,175,0,0.040118744532148455,Run Immediately,5086.5500000000075,7469.962000000011
18.623800000000006,183,1,1.059159215568633,Delay Job (Low Carbon),3408.155400000001,4786.316600000002
33.070800000000006,192,0,0.03544648904774,Run Immediately,6349.593600000001,8499.195600000001
28.434900000000024,230,0,0.0395158766164115,Run Immediately,6540.0270000000055,7307.769300000006
10.295499999999997,257,1,1.1010208645800639,Delay Job (Low Carbon),2645.9434999999994,2645.9434999999994
18.42560000000002,250,1,1.0582723167766586,Delay Job (Low Carbon),4606.400000000005,4735.379200000005
